# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
11827.9000 M389 930574 3 391.9000 c56 w105 293 N c56->p38->c58->w105
11839.5000 M367 723002 3 1032.5000 c58 w118 282 N c58->p22->c74->w118
11863.7000 M376 674585 2 803.7000 w116 p17 286 N w116->c66->p17
11866.1000 M328 576231 4 2205.1000 c72 c40 263 N c72->c73->c49->w98->c40
11963.4000 M195 737647 1 6177.4000 p19 c56 197 N p19->c56
11984.4000 M332 727696 2 2206.4000 w105 p4 263 N w105->w100->p4
12024.9000 M26 546679 3 11267.9000 p8 p20 112 N p8->p32->t125->p20
12079.7000 M32 531670 1 11134.7000 p2 c48 114 N p2->c48
12115.2000 M384 780067 1 827.2000 c51 w84 286 N c51->w84
12124.0000 M383 770201 2 868.0000 w115 p14 285 N w115->w88->p14
12141.2000 M232 569382 3 5258.2000 c58 w95 212 N c58->p27->p24->w95
12153.2000 M303 707088 3 3206.2000 c52 p13 246 N c52->p23->p24->p13
12185.6000 M189 574913 3 6580.6000 w116 p27 190 N w116->p11->c56->p27
12186.1000 M380 580309 3 1023.1000 p35 p29 282 N p35->c62->c58->p29
12188.9000 M256 678857 1 4585.9000 c61 p39 223 N c61->p39
12211.3000 M307 981312 2 3156.3000 c55 c64 247 N c55->c42->c64
12276.6000 M342 641547 4 2208.6000 w92 p16 263 N w92->p5->c70->c73->p16
12358.6000 M336 506099 1 2467.6000 c46 c63 258 N c46->c63
12400.4000 M260 541494 3 4684.4000 p8 w95 221 N p8->c58->c47->w95
12404.9000 M178 890709 2 7115.9000 w110 w116 181 N w110->c79->w116
12418.8000 M196 776404 2 6598.8000 w109 w116 190 N w109->w82->w116
12469.6000 M409 987620 1 436.6000 w85 p6 292 N w85->p6
12527.4000 M375 502968 2 1498.4000 w102 w92 275 N w102->c44->w92
12552.4000 M166 766358 3 7632.4000 w92 w112 172 N w92->w106->p33->w112
12583.5000 M153 974276 1 8043.5000 w85 p33 165 N w85->p33
12610.4000 M274 520510 3 4498.4000 p28 w93 225 N p28->w102->c51->w93
12708.5000 M394 645972 2 1121.5000 p37 w108 281 N p37->w96->w108
12765.3000 M248 729761 4 5398.3000 w117 c43 210 N w117->t120->p12->c62->c43
12766.1000 M289 773714 3 4224.1000 c72 c55 229 N c72->c52->p33->c55
12776.2000 M296 724579 2 4028.2000 t121 c44 232 N t121->w111->c44
12780.9000 M358 715916 3 2250.9000 p7 p6 262 N p7->p27->c55->p6
12809.3000 M278 600747 4 4573.3000 w105 c75 223 N w105->w98->w106->p10->c75
12840.3000 M393 674102 4 1282.3000 c59 c75 278 N c59->p2->c49->c61->c75
12864.6000 M78 861599 2 10532.6000 p35 p2 124 N p35->c76->p2
12894.8000 M317 708700 4 3539.8000 c51 w110 241 N c51->p23->p14->p10->w110
12971.5000 M339 988060 3 2995.5000 w84 w95 250 N w84->p38->c57->w95
12988.9000 M110 839088 2 9700.9000 c77 p39 138 N c77->c66->p39
13017.9000 M203 799751 2 6987.9000 w81 w108 183 N w81->p1->w108
13048.2000 M280 573971 4 4761.2000 p39 w86 220 N p39->p33->w116->t120->w86
13098.6000 M385 524768 3 1784.6000 w110 p17 270 N w110->c42->c62->p17
13128.0000 M295 798056 3 4406.0000 c45 p32 226 N c45->w113->c57->p32
13234.1000 M437 601091 2 383.1000 p34 t120 293 N p34->p22->t120
13247.3000 M294 926344 4 4558.3000 p4 p31 224 N p4->w81->c69->w93->p31
13262.3000 M216 976916 3 6859.3000 w91 t123 185 N w91->p32->p33->t123
13264.8000 M353 899662 3 2885.8000 c46 w114 251 N c46->w103->p15->w114
13270.8000 M281 841633 3 4957.8000 p35 w111 217 N p35->c57->c46->w111
13281.2000 M373 563268 1 2311.2000 c68 w114 261 N c68->w114
13294.4000 M301 899280 2 4407.4000 p6 p8 226 N p6->c56->p8
13305.3000 M202 769146 1 7308.3000 p17 w83 178 N p17->w83
13317.4000 M247 562721 4 5980.4000 c57 w99 200 N c57->c63->w102->c60->w99
13414.0000 M356 592838 3 2943.0000 w112 w86 250 N w112->p28->c44->w86
13422.8000 M371 725542 2 2509.8000 w82 p9 258 N w82->c63->p9
13423.1000 M330 559185 3 3697.1000 t120 w117 238 N t120->w105->w100->w117
13498.9000 M366 857252 2 2723.9000 p14 c79 254 N p14->c75->c79
13506.6000 M243 857445 2 6299.6000 c72 c79 195 N c72->c41->c79
13623.3000 M3 968122 1 13539.3000 t123 p6 74 N t123->p6
13630.5000 M165 709592 4 8744.5000 c52 w118 154 N c52->c63->w104->c45->w118
13656.2000 M297 669428 3 4881.2000 w117 c63 218 N w117->w118->c40->c63
13692.1000 M334 935333 3 3857.1000 p24 c57 235 N p24->p30->w109->c57
13714.6000 M285 613983 3 5287.6000 t120 w81 211 N t120->w109->c65->w81
13718.4000 M352 512686 2 3369.4000 w99 c79 243 N w99->p0->c79
13756.3000 M201 902705 3 7785.3000 c43 w84 170 N c43->c61->t123->w84
13804.7000 M407 677009 1 1834.7000 w109 w84 269 N w109->w84
13841.1000 M324 773182 4 4294.1000 w114 p13 228 N w114->w101->c71->w90->p13
13844.4000 M310 818953 3 4699.4000 w114 p13 221 N w114->w89->w90->p13
13891.0000 M85 821486 1 11358.0000 p6 t124 110 N p6->t124
14000.9000 M27 707738 4 13215.9000 c64 w117 79 N c64->c47->c76->w86->w117
14034.0000 M117 588091 1 10540.0000 w116 p18 124 N w116->p18
14047.3000 M350 783852 1 3753.3000 p17 t124 237 N p17->t124
14126.5000 M429 801597 2 1497.5000 w116 p29 275 N w116->c79->p29
14142.3000 M404 538844 1 2255.3000 c56 p14 262 N c56->p14
14159.9000 M37 737538 3 13067.9000 w117 p6 82 N w117->c49->c51->p6
14194.7000 M286 824783 2 5739.7000 p7 c73 204 N p7->w117->c73
14248.6000 M72 625366 4 12096.6000 c78 p18 98 N c78->p10->w86->c40->p18
14265.6000 M413 891368 4 2106.6000 p10 p23 264 N p10->w110->c51->p33->p23
14270.0000 M249 944555 2 6877.0000 p25 p4 185 N p25->p13->p4
14276.6000 M348 888064 3 4040.6000 c43 c55 232 N c43->p33->c59->c55
14319.4000 M463 747092 3 717.4000 c42 c63 288 N c42->w82->w105->c63
14322.9000 M283 842725 4 5955.9000 p5 t120 200 N p5->w99->w88->p27->t120
14338.3000 M392 819618 3 2813.3000 c52 p14 253 N c52->w91->c43->p14
14366.7000 M416 740646 3 2125.7000 c60 c70 264 N c60->w118->c56->c70
14370.9000 M434 870028 2 1605.9000 p19 c75 273 N p19->w81->c75
14404.6000 M403 675156 2 2544.6000 p18 p16 257 N p18->c63->p16
14407.2000 M379 561579 3 3270.2000 p4 p35 245 N p4->w90->w100->p35
14413.7000 M119 668212 4 10859.7000 w112 p15 119 N w112->c57->p21->p24->p15
14599.5000 M188 875548 3 9024.5000 c47 w89 149 N c47->p9->p20->w89
14627.7000 M480 902484 2 503.7000 t123 c75 291 N t123->t122->c75
14634.7000 M418 935430 4 2335.7000 p7 w109 261 N p7->w111->p1->c75->w109
14645.3000 M493 690980 2 125.3000 w99 c44 297 N w99->p7->c44
14712.1000 M428 649731 2 2110.1000 w102 c74 264 N w102->c68->c74
14734.2000 M210 524864 4 8508.2000 c65 p26 158 N c65->w95->p3->c53->p26
14755.8000 M246 828591 1 7446.8000 c75 w114 175 N c75->w114
14773.7000 M368 763759 3 3937.7000 w107 w102 234 N w107->w86->c60->w102
14784.9000 M346 932374 3 4603.9000 c62 c74 223 N c62->c67->p27->c74
14830.1000 M401 902523 3 3031.1000 c63 c74 249 N c63->p7->c44->c74
14879.9000 M304 936793 4 5906.9000 w112 c65 201 N w112->w108->p29->c59->c65
15035.3000 M460 806829 3 1519.3000 w108 c45 274 N w108->w116->w99->c45
15058.3000 M175 750628 2 9862.3000 w84 c53 135 N w84->c67->c53
15078.9000 M462 867218 4 1508.9000 p33 w85 274 N p33->c57->p23->c53->w85
15088.5000 M351 761437 3 4764.5000 p37 c50 220 N p37->c42->c59->c50
15141.1000 M229 923227 2 8355.1000 w92 p4 160 N w92->c48->p4
15275.7000 M363 733657 2 4591.7000 p1 w114 223 N p1->c60->w114
15281.3000 M397 911137 1 3610.3000 w94 w109 239 N w94->w109
15360.8000 M140 743196 4 11196.8000 w96 w95 113 N w96->c66->p33->c60->w95
15380.9000 M127 975887 2 11589.9000 c71 p2 106 N c71->w110->p2
15392.8000 M422 963729 2 2964.8000 c65 t121 250 N c65->p27->t121
15399.5000 M453 764514 4 2078.5000 t123 p7 265 N t123->p6->p22->c41->p7
15409.6000 M276 776460 3 7233.6000 p11 w96 179 N p11->c76->p1->w96
15443.1000 M455 956880 2 2064.1000 c45 w97 265 N c45->p17->w97
15496.6000 M329 940364 3 5801.6000 p23 w107 203 N p23->c51->c63->w107
15500.0000 M489 867576 2 1100.0000 w109 p13 281 N w109->w114->p13
15506.8000 M300 648818 2 6650.8000 p15 p31 189 N p15->w84->p31
15509.3000 M400 610603 3 3744.3000 t123 p31 237 N t123->c68->w84->p31
15514.7000 M236 844026 3 8515.7000 t122 w97 158 N t122->t124->t125->w97
15520.6000 M411 743171 4 3427.6000 w84 w96 242 N w84->c68->p14->p7->w96
15533.6000 M362 672640 4 4879.6000 w116 w103 218 N w116->p17->p35->c49->w103
