# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
18066.2000 M241 894126 2 10915.2000 c46 c75 118 N c46->w111->c75
18132.3000 M160 795734 5 13381.3000 p32 p39 76 N p32->p3->c43->c42->w102->p39
18147.5000 M170 844916 3 13106.5000 w107 w106 81 N w107->p37->w111->w106
18171.4000 M538 622390 1 2299.4000 c73 w83 261 N c73->w83
18275.0000 M608 542625 1 310.0000 c76 p9 294 N c76->p9
18318.5000 M260 541494 2 10602.5000 p8 w95 123 N p8->c48->w95
18340.0000 M515 688639 1 3166.0000 p37 w111 247 N p37->w111
18460.4000 M331 930586 1 8708.4000 p31 w85 154 N p31->w85
18475.2000 M438 823974 1 5596.2000 p17 c71 206 N p17->c71
18534.0000 M413 891368 2 6375.0000 p10 p23 193 N p10->c75->p23
18553.9000 M247 562721 3 11216.9000 c57 w99 113 N c57->p31->w85->w99
18557.9000 M203 799751 2 12527.9000 w81 w108 91 N w81->c57->w108
18558.8000 M164 659543 4 13700.8000 p15 c54 71 N p15->c52->w119->w86->c54
18596.1000 M478 541908 2 4538.1000 c46 p11 224 N c46->c59->p11
18822.4000 M504 938223 1 3966.4000 p7 c72 233 N p7->c72
18854.8000 M251 718162 1 11404.8000 c78 c60 109 N c78->c60
19301.6000 M577 551471 1 2251.6000 t120 p13 262 N t120->p13
19326.2000 M376 674585 4 8266.2000 w116 p17 162 N w116->w99->p18->w116->p17
19331.7000 M431 821776 1 6646.7000 t123 p11 189 N t123->p11
19342.3000 M363 733657 1 8658.3000 p1 w114 155 N p1->w114
19365.8000 M619 767409 1 1073.8000 w115 c73 282 N w115->c73
19391.3000 M107 751567 3 16192.3000 w100 w115 30 N w100->w82->c67->w115
19457.1000 M470 536630 2 5634.1000 c79 t122 206 N c79->w102->t122
19506.5000 M583 923296 1 2272.5000 p2 c77 262 N p2->c77
19658.5000 M303 707088 2 10711.5000 c52 p13 121 N c52->t123->p13
19768.7000 M239 580423 2 12678.7000 w85 c78 88 N w85->p32->c78
19804.3000 M294 926344 2 11115.3000 p4 p31 114 N p4->p29->p31
19830.6000 M162 697955 4 15026.6000 p35 w112 49 N p35->w116->w99->c77->w112
19854.5000 M281 841633 1 11541.5000 p35 w111 107 N p35->w111
